phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,1.920958225329717,0.0,0.0,1.920958225329717,0.0,0.0,0.3302888794284728,1.3168382835388184,0.5235999849438667,59.21954107284546
finetune,2,1.485091015961435,0.0,0.0,1.485091015961435,0.0,0.0,0.4893999866478973,1.017723199725151,0.6391999834775924,54.34221339225769
finetune,3,1.2676435468594234,0.0,0.0,1.2676435468594234,0.0,0.0,0.5639777621626854,0.8722306331992149,0.6925999855995179,53.379366397857666
finetune,4,1.1301315676503711,0.0,0.0,1.1301315676503711,0.0,0.0,0.6100222064057986,0.7960293534398079,0.7121999871730804,53.187862396240234
finetune,5,1.045324803127183,0.0,0.0,1.045324803127183,0.0,0.0,0.636844430036015,0.7327538532018661,0.7355999848246575,52.94704580307007
finetune,6,0.9776305558284124,0.0,0.0,0.9776305558284124,0.0,0.0,0.6613999857174025,0.6748125293850898,0.7533999836444855,54.73252820968628
finetune,7,0.933193934129344,0.0,0.0,0.933193934129344,0.0,0.0,0.6755777641799715,0.632441848218441,0.7747999805212021,54.41420078277588
finetune,8,0.892299096484979,0.0,0.0,0.892299096484979,0.0,0.0,0.6906444311804242,0.613812486231327,0.7789999777078629,54.407559633255005
finetune,9,0.857626732091109,0.0,0.0,0.857626732091109,0.0,0.0,0.703022208015124,0.5955886912345886,0.7873999810218811,55.25324368476868
finetune,10,0.8220652613043785,0.0,0.0,0.8220652613043785,0.0,0.0,0.7151110958390766,0.5691656628251076,0.8043999761343003,56.177624225616455
finetune,11,0.802761835290326,0.0,0.0,0.802761835290326,0.0,0.0,0.7227333182096481,0.5399706089496612,0.8119999754428864,56.173524379730225
finetune,12,0.779942563838429,0.0,0.0,0.779942563838429,0.0,0.0,0.7302888727850384,0.5235953167080879,0.8099999767541886,54.00465273857117
finetune,13,0.7641237934761577,0.0,0.0,0.7641237934761577,0.0,0.0,0.7379777614275614,0.5150638520717621,0.8257999759912491,52.89540123939514
finetune,14,0.7387321709262,0.0,0.0,0.7387321709262,0.0,0.0,0.744177761276563,0.5028782144188881,0.829999977350235,52.924920320510864
finetune,15,0.727920015487406,0.0,0.0,0.727920015487406,0.0,0.0,0.7491110936800639,0.4795813092589378,0.8375999760627747,53.365065813064575
finetune,16,0.7129247171845701,0.0,0.0,0.7129247171845701,0.0,0.0,0.755666648944219,0.47665961235761645,0.8381999784708023,52.81912446022034
finetune,17,0.7035435764988264,0.0,0.0,0.7035435764988264,0.0,0.0,0.7575999816921022,0.4887887448072433,0.8265999728441238,52.551384687423706
finetune,18,0.689723126259115,0.0,0.0,0.689723126259115,0.0,0.0,0.7611110923687617,0.4822599074244499,0.8349999737739563,52.75819802284241
finetune,19,0.6783628916078144,0.0,0.0,0.6783628916078144,0.0,0.0,0.767866648832957,0.4716443060338497,0.8393999773263932,53.06687045097351
finetune,20,0.6670836018191444,0.0,0.0,0.6670836018191444,0.0,0.0,0.7680444252490998,0.4541908787190914,0.8459999728202819,57.084001779556274
finetune,21,0.6711886181433996,0.0,0.0,0.6711886181433996,0.0,0.0,0.7686888686153623,0.4425492898374796,0.8525999766588211,56.275779485702515
finetune,22,0.6569020491838455,0.0,0.0,0.6569020491838455,0.0,0.0,0.77344442486763,0.4446266995370388,0.849599974155426,53.190808057785034
finetune,23,0.6501640859908527,0.0,0.0,0.6501640859908527,0.0,0.0,0.7774222024281819,0.43758941292762754,0.8519999754428863,53.17472267150879
finetune,24,0.6459775198830499,0.0,0.0,0.6459775198830499,0.0,0.0,0.7766666469971338,0.43904817685484887,0.84899997651577,53.26855397224426
finetune,25,0.6301580767499076,0.0,0.0,0.6301580767499076,0.0,0.0,0.7814888681305779,0.43542059764266017,0.8533999752998352,52.96942949295044
finetune,26,0.6394615752332741,0.0,0.0,0.6394615752332741,0.0,0.0,0.7815110903978347,0.4373967853933573,0.8507999724149704,58.101391077041626
finetune,27,0.6294814069403543,0.0,0.0,0.6294814069403543,0.0,0.0,0.7819333124160767,0.4437299308180809,0.8505999761819839,53.25648546218872
finetune,28,0.6336003222564857,0.0,0.0,0.6336003222564857,0.0,0.0,0.7835555345482297,0.4408748292922974,0.8505999743938446,53.50185799598694
finetune,29,0.6249962413476573,0.0,0.0,0.6249962413476573,0.0,0.0,0.785222201678488,0.43620375990867616,0.852199975848198,53.05088472366333
finetune,30,0.6284911487996578,0.0,0.0,0.6284911487996578,0.0,0.0,0.7840888674391641,0.43882140398025515,0.8515999758243561,53.09405469894409
