layer,channel,ablation_delta,log_alpha
conv_layers.3,3,0.0021523036994040012,1.9765050411224365
conv_layers.3,4,0.018761631101369858,1.978629231452942
conv_layers.3,5,0.005037797149270773,1.9551787376403809
conv_layers.3,6,-0.006274730898439884,2.0028762817382812
conv_layers.3,8,0.013724679127335548,1.9848601818084717
conv_layers.3,9,0.036381613463163376,2.0174596309661865
conv_layers.3,11,-0.008990809321403503,2.026947498321533
conv_layers.3,16,0.017412321642041206,2.035222053527832
conv_layers.3,18,-0.004145211540162563,1.9800139665603638
conv_layers.3,20,0.0019217138178646564,2.0212011337280273
conv_layers.3,21,0.018716977909207344,2.019502878189087
conv_layers.3,27,0.01196938194334507,2.0147135257720947
conv_layers.3,29,0.02094382792711258,1.9885210990905762
conv_layers.3,31,0.008558831177651882,2.021165370941162
conv_layers.3,32,0.03535647690296173,2.0106751918792725
conv_layers.3,33,0.03977370262145996,2.0129549503326416
conv_layers.3,34,0.015179300680756569,2.012585401535034
conv_layers.3,36,0.023380087688565254,2.0220255851745605
conv_layers.3,38,-0.004765716381371021,2.0016543865203857
conv_layers.3,39,0.03504278510808945,2.0439772605895996
conv_layers.3,42,0.009140255860984325,1.9906377792358398
conv_layers.3,43,0.016862696036696434,2.035902261734009
conv_layers.3,44,0.007500560954213142,1.9904216527938843
conv_layers.3,45,0.01898578554391861,2.0295443534851074
conv_layers.3,48,0.04203861951828003,2.0062057971954346
conv_layers.3,51,0.03477456793189049,2.0206658840179443
conv_layers.3,54,0.019464345648884773,2.000401735305786
conv_layers.3,56,0.01426585204899311,2.012476921081543
conv_layers.3,57,0.041241638362407684,1.9964646100997925
conv_layers.3,58,0.010870403610169888,1.9958622455596924
conv_layers.3,59,0.014031002297997475,2.0047388076782227
conv_layers.3,61,0.0245699193328619,2.0132694244384766
conv_layers.3,62,0.02639348991215229,1.9725134372711182
conv_layers.3,64,0.021949732676148415,2.016683578491211
conv_layers.3,67,0.0076390840113162994,1.997241497039795
conv_layers.3,69,0.024896301329135895,2.0140485763549805
conv_layers.3,70,0.033870846033096313,1.9888144731521606
conv_layers.3,71,0.016302254050970078,2.010446548461914
conv_layers.3,74,0.04061637446284294,2.007789373397827
conv_layers.3,79,0.003469991497695446,2.016763925552368
conv_layers.3,80,0.04453538730740547,2.002204418182373
conv_layers.3,82,0.017467614263296127,2.002767324447632
conv_layers.3,84,0.006202090997248888,2.011906623840332
conv_layers.3,88,0.019365260377526283,1.9948244094848633
conv_layers.3,90,0.04009348526597023,2.0132272243499756
conv_layers.3,92,0.011555273085832596,2.003143787384033
conv_layers.3,93,0.009706559590995312,2.001861810684204
conv_layers.3,94,0.03027999773621559,2.017644166946411
conv_layers.3,95,0.016530871391296387,1.9978113174438477
conv_layers.3,98,0.031184010207653046,2.012831211090088
conv_layers.3,100,0.015902871266007423,2.0048604011535645
conv_layers.3,102,0.015053004026412964,1.995660424232483
conv_layers.3,105,0.03809734061360359,1.9685111045837402
conv_layers.3,106,0.03367230296134949,1.9879753589630127
conv_layers.3,108,0.004845493007451296,2.0275378227233887
conv_layers.3,109,0.010716836899518967,2.010667085647583
conv_layers.3,112,0.0024575854185968637,2.023120641708374
conv_layers.3,113,0.011859908699989319,1.9971346855163574
conv_layers.3,116,-0.02419908531010151,1.9911785125732422
conv_layers.3,120,-0.011182921938598156,1.9952614307403564
conv_layers.3,121,-0.010672896169126034,2.025630474090576
conv_layers.3,122,-0.011464466340839863,2.020681142807007
conv_layers.3,125,0.0010805195197463036,2.0167784690856934
conv_layers.4,5,-0.002919789869338274,2.0697879791259766
conv_layers.4,6,0.021109232679009438,2.072512149810791
conv_layers.4,12,0.010136405006051064,2.0462090969085693
conv_layers.4,18,0.00455239275470376,2.06213116645813
conv_layers.4,19,0.02076244167983532,2.035965919494629
conv_layers.4,27,0.024519920349121094,2.0735673904418945
conv_layers.4,29,0.0011116513051092625,2.0445919036865234
conv_layers.4,30,0.014537161216139793,2.066622495651245
conv_layers.4,31,0.023776549845933914,2.0593137741088867
conv_layers.4,34,0.003865365404635668,2.0441694259643555
conv_layers.4,35,-0.009151486679911613,2.0637142658233643
conv_layers.4,37,-0.005878461059182882,2.0536885261535645
conv_layers.4,38,0.014195770025253296,2.0536410808563232
conv_layers.4,41,-0.012879431247711182,2.0259313583374023
conv_layers.4,43,-0.0023291148245334625,2.0730419158935547
conv_layers.4,49,-0.007184690795838833,2.0576233863830566
conv_layers.4,53,-0.0030837487429380417,2.047433376312256
conv_layers.4,55,0.0025473437272012234,2.0593583583831787
conv_layers.4,59,0.016745537519454956,2.0688092708587646
conv_layers.4,70,0.007403595373034477,2.071620464324951
conv_layers.4,87,0.0028016711585223675,2.05226469039917
conv_layers.4,91,0.00927143357694149,2.069335699081421
conv_layers.4,102,0.00560334138572216,2.0424306392669678
conv_layers.4,109,0.012355076149106026,2.0628960132598877
conv_layers.4,111,-0.00017905235290527344,2.0647003650665283
conv_layers.4,113,0.014468126930296421,2.0366709232330322
conv_layers.4,118,0.004272055812180042,2.077110528945923
conv_layers.4,127,0.01039600558578968,2.0211124420166016
conv_layers.4,134,0.0077386172488331795,2.029984474182129
conv_layers.4,136,0.004874274134635925,2.051097869873047
conv_layers.4,137,0.00262703699991107,2.0589940547943115
conv_layers.4,138,-0.018495583906769753,2.063648223876953
conv_layers.4,140,0.01853024959564209,2.02193546295166
conv_layers.4,141,-0.008101760409772396,2.0492587089538574
conv_layers.4,145,-0.0027568398509174585,2.0760338306427
conv_layers.4,151,0.014694063924252987,2.061337947845459
conv_layers.4,154,0.0014121681451797485,2.066376209259033
conv_layers.4,169,0.013738645240664482,2.034520387649536
conv_layers.4,170,0.008136398158967495,2.043252944946289
conv_layers.4,172,0.00022549880668520927,2.036503553390503
conv_layers.4,173,0.024582428857684135,2.039931058883667
conv_layers.4,174,0.011026183143258095,2.0605835914611816
conv_layers.4,181,-0.008286457508802414,2.032226324081421
conv_layers.4,185,0.019596729427576065,2.03714919090271
conv_layers.4,189,-0.004397101700305939,2.0371007919311523
conv_layers.4,195,0.017218146473169327,2.063002347946167
conv_layers.4,196,0.02950236387550831,2.040642738342285
conv_layers.4,199,-0.005765633191913366,2.0562665462493896
conv_layers.4,200,0.008892225101590157,2.0351667404174805
conv_layers.4,207,0.010999929159879684,2.0532541275024414
conv_layers.4,209,0.012019538320600986,2.082782030105591
conv_layers.4,213,0.013960263691842556,2.050828695297241
conv_layers.4,214,0.008327953517436981,2.065263271331787
conv_layers.4,215,0.016872134059667587,2.0526719093322754
conv_layers.4,216,0.009406467899680138,2.0415422916412354
conv_layers.4,225,0.020653516054153442,2.060547351837158
conv_layers.4,234,0.011650385335087776,2.030614137649536
conv_layers.4,235,0.0019638552330434322,2.0731499195098877
conv_layers.4,239,0.010277453809976578,2.061378240585327
conv_layers.4,242,-0.0017938441596925259,2.060196876525879
conv_layers.4,243,0.012364242225885391,2.042231559753418
conv_layers.4,244,0.020636864006519318,2.071035861968994
conv_layers.4,247,0.014879596419632435,2.053715467453003
conv_layers.4,249,-0.01591201312839985,2.0752105712890625
