phase,epoch,train_task_loss,train_kl,train_total_loss,beta,train_accuracy,val_loss,val_accuracy,epoch_time_sec
dpap_train,1,0.2974435210476319,0.0,0.2974435210476319,0.0,0.9097333102756077,0.06594640556257218,0.9803999799489975,80.72260093688965
dpap_train,2,0.3160726106787721,0.0,0.3160726106787721,0.0,0.8969777541690402,0.08097805689089001,0.9709999787807465,73.74217939376831
dpap_train,3,0.3329021278851562,0.0,0.3329021278851562,0.0,0.8917999760309855,0.1077074136864394,0.9611999779939652,73.08732461929321
dpap_train,4,0.34919522262281844,0.0,0.34919522262281844,0.0,0.8862221988042196,0.12712490485515446,0.9565999794006348,72.70341396331787
dpap_train,5,0.35923987169646554,0.0,0.35923987169646554,0.0,0.883666641579734,0.17369321931153536,0.939799975156784,72.6247661113739
dpap_train,6,0.35645536377198167,0.0,0.35645536377198167,0.0,0.8841333090596729,0.16276765445247293,0.943399977684021,73.24641418457031
dpap_train,7,0.36475535160137545,0.0,0.36475535160137545,0.0,0.8791333085298538,0.20025869589298964,0.9339999788999558,73.00872445106506
dpap_train,8,0.3626099515540732,0.0,0.3626099515540732,0.0,0.8815999760230382,0.18141599152237176,0.939799975156784,72.65751433372498
dpap_train,9,0.35582921591897804,0.0,0.35582921591897804,0.0,0.8819999758402507,0.16544917315244675,0.9419999772310257,72.91343832015991
dpap_train,10,0.343918421363665,0.0,0.343918421363665,0.0,0.8867999758323034,0.17033316055312753,0.9451999753713608,73.13127160072327
dpap_train,11,0.3379876949638128,0.0,0.3379876949638128,0.0,0.8887555322382186,0.20948846824467182,0.9351999747753144,73.66565823554993
dpap_train,12,0.331670226301584,0.0,0.331670226301584,0.0,0.8899110864268409,0.16759172677993775,0.9459999758005142,72.68837594985962
dpap_train,13,0.318990144998663,0.0,0.318990144998663,0.0,0.8952888655662536,0.16425538660958408,0.9447999775409699,72.91191101074219
dpap_train,14,0.3059093838309248,0.0,0.3059093838309248,0.0,0.8990666419929928,0.15318921777419747,0.949999982714653,72.93053078651428
dpap_train,15,0.2962695168434746,0.0,0.2962695168434746,0.0,0.9035777538352543,0.15556818602606654,0.9493999779224396,73.1714084148407
dpap_train,16,0.28041720357620054,0.0,0.28041720357620054,0.0,0.907199976907836,0.15577852189540864,0.9503999763727188,73.19978404045105
dpap_train,17,0.2659297224092815,0.0,0.2659297224092815,0.0,0.9115777550141017,0.15540416426956655,0.948599978685379,73.06459975242615
dpap_train,18,0.2613895690668788,0.0,0.2613895690668788,0.0,0.9141555325190226,0.16248560016974806,0.9473999798297882,73.14037919044495
dpap_train,19,0.2561432927267419,0.0,0.2561432927267419,0.0,0.9161999766694174,0.14923588555306197,0.9537999767065048,72.78894424438477
dpap_train,20,0.24060777477092213,0.0,0.24060777477092213,0.0,0.919733309812016,0.14576012974604965,0.9533999800682068,72.9371440410614
dpap_train,21,0.23021712803385325,0.0,0.23021712803385325,0.0,0.9233333096239302,0.1493783694691956,0.9505999785661697,73.38353276252747
dpap_train,22,0.2233691141899261,0.0,0.2233691141899261,0.0,0.9253333112266329,0.14900510426610708,0.9559999758005142,73.31897640228271
dpap_train,23,0.21796115443524386,0.0,0.21796115443524386,0.0,0.9278221987353431,0.13219128497876226,0.9553999751806259,72.35039067268372
dpap_train,24,0.20679145238362254,0.0,0.20679145238362254,0.0,0.9305555333031549,0.14955982848070562,0.9555999773740769,73.34077095985413
dpap_train,25,0.2089571916912165,0.0,0.2089571916912165,0.0,0.9310888658629524,0.14369074562564493,0.9543999779224396,72.97899651527405
dpap_train,26,0.205718921209789,0.0,0.205718921209789,0.0,0.9319333110253016,0.1441304990556091,0.9547999745607376,73.16461205482483
dpap_train,27,0.2070501133861641,0.0,0.2070501133861641,0.0,0.9313999775383207,0.14613158346153796,0.9577999752759934,72.80235123634338
dpap_train,28,0.21569540135355458,0.0,0.21569540135355458,0.0,0.9285999766985575,0.1551602147053927,0.9513999778032303,73.24371027946472
dpap_train,29,0.2155222047575646,0.0,0.2155222047575646,0.0,0.9276666433943642,0.15863989233970643,0.9513999783992767,73.27507209777832
dpap_train,30,0.2260623733388881,0.0,0.2260623733388881,0.0,0.9237555329004924,0.1743052271567285,0.9457999753952027,73.56365466117859
