phase,epoch,train_task_loss,train_kl,train_total_loss,beta,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,1.623939886286452,0.0,1.623939886286452,0.0,0.4253645092460882,1.52502726527709,0.4833860759493671,289.975380897522
finetune,2,1.0714622579122846,0.0,1.0714622579122846,0.0,0.620221372688478,1.1018407963499237,0.6283623417721519,279.4600110054016
finetune,3,0.8740190753387354,0.0,0.8740190753387354,0.0,0.699524359886202,0.9534782729571378,0.6704905063291139,279.2166919708252
finetune,4,0.7904479504479454,0.0,0.7904479504479454,0.0,0.7298630867709816,0.8386721958087969,0.7013449367088608,282.5629699230194
finetune,5,0.7274728055359798,0.0,0.7274728055359798,0.0,0.7546008179231863,0.891239621971227,0.7110363924050633,283.2810924053192
finetune,6,0.6894115910760709,0.0,0.6894115910760709,0.0,0.7666696301564723,0.6954957752288142,0.754746835443038,279.049560546875
finetune,7,0.6528653388003027,0.0,0.6528653388003027,0.0,0.7808277027027027,0.7623851502997966,0.739121835443038,280.4731206893921
finetune,8,0.621403443440265,0.0,0.621403443440265,0.0,0.7904738620199147,0.697450842283949,0.7583069620253164,279.4629211425781
finetune,9,0.5998756022829759,0.0,0.5998756022829759,0.0,0.7996088193456614,0.6931691758240326,0.7674050632911392,279.12163066864014
finetune,10,0.5775194385143296,0.0,0.5775194385143296,0.0,0.8072990753911806,0.7393045531043524,0.7545490506329114,321.9891269207001
finetune,11,0.5622478810007847,0.0,0.5622478810007847,0.0,0.812522226173542,0.7288830253896834,0.7612737341772152,294.23333621025085
finetune,12,0.5411204388987798,0.0,0.5411204388987798,0.0,0.8188344594594594,0.5934283748457704,0.7954905063291139,285.56687116622925
finetune,13,0.5278051797814594,0.0,0.5278051797814594,0.0,0.8239687055476529,0.6778109805493415,0.7707674050632911,279.56339836120605
finetune,14,0.5115055444399969,0.0,0.5115055444399969,0.0,0.8311699857752489,0.665429882233656,0.7927215189873418,274.7770359516144
finetune,15,0.49971669079314596,0.0,0.49971669079314596,0.0,0.8327702702702703,0.6282827011014842,0.8024129746835443,292.2432236671448
finetune,16,0.4900946765502181,0.0,0.4900946765502181,0.0,0.8362375533428165,0.6362388352804547,0.7982594936708861,292.93958830833435
finetune,17,0.47458578925977224,0.0,0.47458578925977224,0.0,0.8427053698435277,0.6944292553617984,0.7848101265822784,271.2239706516266
finetune,18,0.46257375716993515,0.0,0.46257375716993515,0.0,0.8459948435277382,0.5810441435137882,0.8032041139240507,270.19878220558167
finetune,19,0.45454185957335475,0.0,0.45454185957335475,0.0,0.8492398648648649,0.6172755979284456,0.8002373417721519,269.97580742836
finetune,20,0.4494502057094832,0.0,0.4494502057094832,0.0,0.8502178165007113,0.5551605990415887,0.819620253164557,286.01550221443176
finetune,21,0.436453716005404,0.0,0.436453716005404,0.0,0.8544852418207681,0.5747101084340976,0.8113132911392406,286.9762156009674
finetune,22,0.43050589712381704,0.0,0.43050589712381704,0.0,0.8571523826458037,0.622619122644014,0.8049841772151899,276.5257360935211
finetune,23,0.42452070880071874,0.0,0.42452070880071874,0.0,0.8579747510668563,0.5098253522492662,0.8318829113924051,280.56974053382874
finetune,24,0.4149526856405128,0.0,0.4149526856405128,0.0,0.8614864864864865,0.7542741577836531,0.7691851265822784,280.45125555992126
finetune,25,0.41193681014211553,0.0,0.41193681014211553,0.0,0.8636424253200569,0.6560787232239035,0.7931170886075949,280.8806493282318
finetune,26,0.40616288478055684,0.0,0.40616288478055684,0.0,0.8657094594594594,0.6452380663986448,0.7909414556962026,288.63073325157166
finetune,27,0.4018334155613464,0.0,0.4018334155613464,0.0,0.8667985419630156,0.5509749752811238,0.8160601265822784,288.10952377319336
finetune,28,0.4003554831231132,0.0,0.4003554831231132,0.0,0.8685544096728307,0.6304744387729259,0.7972705696202531,287.53679299354553
finetune,29,0.40178055821747055,0.0,0.40178055821747055,0.0,0.8652871621621622,0.5422514922256712,0.8249604430379747,290.64579677581787
finetune,30,0.4012544344829801,0.0,0.4012544344829801,0.0,0.8662651137980085,0.5913324031648757,0.8113132911392406,285.02072620391846
