phase,epoch,train_task_loss,train_kl,train_total_loss,beta,train_accuracy,val_loss,val_accuracy,epoch_time_sec
sca_train,1,0.33323169338542064,0.0,0.33323169338542064,0.0,0.8861797652916074,0.5409637447210807,0.825751582278481,136.2188594341278
sca_train,2,0.337560191135827,0.0,0.337560191135827,0.0,0.8838904694167852,0.5526858204032613,0.8277294303797469,130.2871789932251
sca_train,3,0.3409354741530093,0.0,0.3409354741530093,0.0,0.8826458036984353,0.554303306567518,0.8344541139240507,130.05250644683838
sca_train,4,0.336625198328902,0.0,0.336625198328902,0.0,0.8833348150782361,0.5593270716976516,0.8289161392405063,130.20319247245789
sca_train,5,0.33282184488488464,0.0,0.33282184488488464,0.0,0.885846372688478,0.5094776349260083,0.8407832278481012,143.1206772327423
sca_train,6,0.41992401909268595,0.0,0.41992401909268595,0.0,0.8556187766714083,0.5429931371649609,0.8271360759493671,132.3126449584961
sca_train,7,0.3880491620022406,0.0,0.3880491620022406,0.0,0.8671986130867709,0.5428522270691546,0.818631329113924,132.43966674804688
sca_train,8,0.3736295719786016,0.0,0.3736295719786016,0.0,0.8710215149359887,0.5409196815158748,0.8221914556962026,131.842031955719
sca_train,9,0.358663308607735,0.0,0.358663308607735,0.0,0.8757556899004267,0.5217955595330347,0.8388053797468354,131.62613439559937
sca_train,10,0.34792380161042913,0.0,0.34792380161042913,0.0,0.8802009246088194,0.5207302921180483,0.8372231012658228,131.8229775428772
sca_train,11,0.42766176078304285,0.0,0.42766176078304285,0.0,0.8519736842105263,0.5622610955298701,0.8188291139240507,131.86441683769226
sca_train,12,0.38132016900211446,0.0,0.38132016900211446,0.0,0.8678653982930299,0.5340996590218966,0.8249604430379747,132.52787852287292
sca_train,13,0.36206323623784403,0.0,0.36206323623784403,0.0,0.8741331792318634,0.53508476969562,0.8338607594936709,131.83271527290344
sca_train,14,0.35446638301290456,0.0,0.35446638301290456,0.0,0.8776449146514936,0.5474718636774187,0.8287183544303798,131.79624700546265
sca_train,15,0.3411735679429676,0.0,0.3411735679429676,0.0,0.8816678520625889,0.48946117128752453,0.8417721518987342,132.16681027412415
sca_train,16,0.5922322253329656,0.0,0.5922322253329656,0.0,0.7973195234708392,0.5874411275115194,0.8024129746835443,131.2498333454132
sca_train,17,0.45443518404685923,0.0,0.45443518404685923,0.0,0.8412828947368421,0.572055989051167,0.8128955696202531,131.88540315628052
sca_train,18,0.42209887434629084,0.0,0.42209887434629084,0.0,0.8552631578947368,0.5359246319607843,0.8208069620253164,131.91154837608337
sca_train,19,0.40646006918351985,0.0,0.40646006918351985,0.0,0.8601973684210527,0.5266168619258494,0.8194224683544303,132.10099816322327
sca_train,20,0.38695255073468343,0.0,0.38695255073468343,0.0,0.8649982219061166,0.5196129051567633,0.825751582278481,132.07743048667908
sca_train,21,1.2009038044243077,0.0,1.2009038044243077,0.0,0.5743243243243243,0.9762358424029772,0.6653481012658228,131.83680129051208
sca_train,22,0.8801491537779188,0.0,0.8801491537779188,0.0,0.6875889046941679,0.8458799983881697,0.6973892405063291,131.8755955696106
sca_train,23,0.775058217696411,0.0,0.775058217696411,0.0,0.7261068634423897,0.7792763494992558,0.7294303797468354,131.93068099021912
sca_train,24,0.7299533318065817,0.0,0.7299533318065817,0.0,0.7431987908961594,0.7546410251267349,0.7409018987341772,131.92388606071472
sca_train,25,0.6953531596942104,0.0,0.6953531596942104,0.0,0.7564900426742532,0.7412029135076306,0.7371439873417721,131.85722970962524
sca_train,26,2.0226259753849902,0.0,2.0226259753849902,0.0,0.24851084637268847,1.778578723533244,0.31408227848101267,131.77270913124084
sca_train,27,1.7770538618350944,0.0,1.7770538618350944,0.0,0.317923186344239,1.674998541421528,0.36530854430379744,131.94551825523376
sca_train,28,1.7081478944374182,0.0,1.7081478944374182,0.0,0.3487508890469417,1.642313634292989,0.36906645569620256,131.88564348220825
sca_train,29,1.677563576406639,0.0,1.677563576406639,0.0,0.35850817923186346,1.6201277080970475,0.38113132911392406,132.22562885284424
sca_train,30,1.6674238565466653,0.0,1.6674238565466653,0.0,0.36590949502133713,1.6166002252433873,0.3876582278481013,132.2877812385559
finetune,1,2.1928230425711206,0.0,2.1928230425711206,0.0,0.173075213371266,1.8920270838314974,0.2778876582278481,114.724360704422
finetune,2,1.8725344144433185,0.0,1.8725344144433185,0.0,0.28062766714082504,1.7767765582362307,0.32219145569620256,113.13283634185791
finetune,3,1.787247462767795,0.0,1.787247462767795,0.0,0.31561166429587484,1.6957345899147322,0.35423259493670883,113.4038622379303
finetune,4,1.722610086499373,0.0,1.722610086499373,0.0,0.34470572546230444,1.6456511458264123,0.3825158227848101,114.34201574325562
finetune,5,1.6759674689847748,0.0,1.6759674689847748,0.0,0.3640647226173542,1.6378387393830698,0.35897943037974683,114.78146147727966
finetune,6,1.6437089305853267,0.0,1.6437089305853267,0.0,0.3782005689900427,1.574331932430026,0.41060126582278483,113.74466347694397
finetune,7,1.6060882233623759,0.0,1.6060882233623759,0.0,0.3969594594594595,1.534506553336035,0.42899525316455694,113.53157353401184
finetune,8,1.577715736534314,0.0,1.577715736534314,0.0,0.40936166429587484,1.5226751067970372,0.424248417721519,112.92404055595398
finetune,9,1.5453801650241292,0.0,1.5453801650241292,0.0,0.42091927453769556,1.5152680587164964,0.4155458860759494,113.42738509178162
finetune,10,1.5151392168883409,0.0,1.5151392168883409,0.0,0.4325213371266003,1.4629374908495554,0.4365110759493671,113.22683596611023
finetune,11,1.493760393998701,0.0,1.493760393998701,0.0,0.4423675320056899,1.4560821901393841,0.4537183544303797,113.3892936706543
finetune,12,1.4736988898870107,0.0,1.4736988898870107,0.0,0.4519914651493599,1.41489790210241,0.4612341772151899,112.85900926589966
