phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,1.7108247803317176,0.0,0.0,1.7108247803317176,0.0,0.0,0.4457333213339249,0.9450844496488571,0.6939999854564667,58.42119288444519
finetune,2,1.1548885348770352,0.0,0.0,1.1548885348770352,0.0,0.0,0.6339555409550667,0.6620034113526344,0.7767999792098998,56.68946051597595
finetune,3,0.9253899353411462,0.0,0.0,0.9253899353411462,0.0,0.0,0.7018888748354382,0.5548340205848217,0.8075999772548675,54.934590339660645
finetune,4,0.7864137458470133,0.0,0.0,0.7864137458470133,0.0,0.0,0.7428444269961781,0.461135046184063,0.8511999750137329,54.96792507171631
finetune,5,0.693463779952791,0.0,0.0,0.693463779952791,0.0,0.0,0.7686888686153623,0.4062266181409359,0.8607999742031097,54.86105442047119
finetune,6,0.6336379643281301,0.0,0.0,0.6336379643281301,0.0,0.0,0.7866666458712683,0.3712512098252773,0.8689999759197236,54.7391152381897
finetune,7,0.5883900445037418,0.0,0.0,0.5883900445037418,0.0,0.0,0.8047999775409699,0.33210276782512665,0.8877999740839004,55.44539451599121
finetune,8,0.5467875229650073,0.0,0.0,0.5467875229650073,0.0,0.0,0.8158888654576407,0.3047509992867708,0.8963999736309052,57.68582344055176
finetune,9,0.5132294672562017,0.0,0.0,0.5132294672562017,0.0,0.0,0.8277555316024356,0.29171609222888945,0.9001999777555466,55.40219211578369
finetune,10,0.47425063798824946,0.0,0.0,0.47425063798824946,0.0,0.0,0.8389999765819973,0.2731300027668476,0.9095999777317048,59.52564311027527
finetune,11,0.4619405888186561,0.0,0.0,0.4619405888186561,0.0,0.0,0.8435999759700563,0.2540108946338296,0.9175999748706818,55.06189036369324
finetune,12,0.44224768444895746,0.0,0.0,0.44224768444895746,0.0,0.0,0.851399975683954,0.23589614637196063,0.9207999771833419,55.20860934257507
finetune,13,0.42114602915942667,0.0,0.0,0.42114602915942667,0.0,0.0,0.858511086901029,0.22404929459095002,0.9219999778270721,55.657317876815796
finetune,14,0.3985984270109071,0.0,0.0,0.3985984270109071,0.0,0.0,0.8651555307706197,0.22585995070636272,0.9247999769449234,54.769078731536865
finetune,15,0.3880428574648168,0.0,0.0,0.3880428574648168,0.0,0.0,0.8709999748733308,0.21076367238536478,0.9307999765872955,57.67888259887695
finetune,16,0.3814788133899371,0.0,0.0,0.3814788133899371,0.0,0.0,0.8711999754110972,0.20043317684903741,0.9367999750375747,55.31541204452515
finetune,17,0.35530527975824144,0.0,0.0,0.35530527975824144,0.0,0.0,0.8785777527093888,0.205990457162261,0.9329999774694443,57.11309838294983
finetune,18,0.3471264325744576,0.0,0.0,0.3471264325744576,0.0,0.0,0.8831555310885112,0.18297472186386585,0.9401999759674072,55.179274797439575
finetune,19,0.33702119081798526,0.0,0.0,0.33702119081798526,0.0,0.0,0.8857555310593711,0.19525980681180954,0.931599975824356,55.210424184799194
finetune,20,0.3310990145595537,0.0,0.0,0.3310990145595537,0.0,0.0,0.8869999760389328,0.18684472290799023,0.9359999775886536,54.703158140182495
finetune,21,0.3196987956182824,0.0,0.0,0.3196987956182824,0.0,0.0,0.8910666435956955,0.18043723233044148,0.9399999779462814,54.92486596107483
finetune,22,0.3158279759188493,0.0,0.0,0.3158279759188493,0.0,0.0,0.8930666424168481,0.17843358216807245,0.9395999777317047,55.16913175582886
finetune,23,0.3023194264827503,0.0,0.0,0.3023194264827503,0.0,0.0,0.8976888644695282,0.1764221639931202,0.9405999755859376,54.95231819152832
finetune,24,0.29913693538970415,0.0,0.0,0.29913693538970415,0.0,0.0,0.8991999769873089,0.1751823945902288,0.9415999782085419,54.94231677055359
finetune,25,0.3001693132271369,0.0,0.0,0.3001693132271369,0.0,0.0,0.8990221979220708,0.16667950067669154,0.9433999794721604,55.420308351516724
finetune,26,0.2922782939258549,0.0,0.0,0.2922782939258549,0.0,0.0,0.9020888653066423,0.1733133553341031,0.9421999752521515,55.157673358917236
finetune,27,0.29086214780807496,0.0,0.0,0.29086214780807496,0.0,0.0,0.9008444211880366,0.1616534547880292,0.9457999747991562,54.908141136169434
finetune,28,0.29490808142970004,0.0,0.0,0.29490808142970004,0.0,0.0,0.8999777540895674,0.16757396299391986,0.9449999725818634,54.980283975601196
finetune,29,0.2892461487443911,0.0,0.0,0.2892461487443911,0.0,0.0,0.9037999755806393,0.1639379285648465,0.9451999753713608,55.0062792301178
finetune,30,0.28766460188974935,0.0,0.0,0.28766460188974935,0.0,0.0,0.9032444204886755,0.17595096783712505,0.9429999727010727,56.59039831161499
