sampler,trial,total_epochs,sca_num_cycles,sca_lr,val_accuracy,pruning_percentage,objective_value
random,0,50,10,0.0008960785365368125,0.2072265625,98.49369415862981,0.2072265625
random,1,68,4,0.00015957084694148357,0.2048828125,98.49369415862981,0.2048828125
random,2,24,9,0.0006054365855469249,0.2037109375,98.49369415862981,0.2037109375
random,3,77,3,0.0018276027831785732,0.2109375,98.49369415862981,0.2109375
random,4,87,4,0.0001724089219582153,0.2146484375,98.49369415862981,0.2146484375
random,5,34,5,0.0004816414530907088,0.181640625,98.49369415862981,0.181640625
random,6,54,5,0.0006252287916406219,0.23046875,98.49369415862981,0.23046875
random,7,31,5,0.000299673090971016,0.198828125,98.49369415862981,0.198828125
random,8,56,9,0.00018187859051288225,0.18984375,98.49369415862981,0.18984375
random,9,61,7,0.00011492999300221417,0.1775390625,98.49369415862981,0.1775390625
random,10,69,4,0.00012151617026673395,0.209375,98.49369415862981,0.209375
random,11,96,10,0.0011265466963346032,0.2638671875,98.49369415862981,0.2638671875
random,12,44,3,0.0007766184280392891,0.2056640625,98.49369415862981,0.2056640625
random,13,55,3,0.0004407984038169245,0.2076171875,98.49369415862981,0.2076171875
random,14,22,10,0.0002171103454376617,0.191015625,98.49369415862981,0.191015625
