sampler,trial,dpap_train_epochs,dpap_ema_decay,dpap_survival_decay,dpap_lr,val_accuracy,pruning_percentage,objective_value
tpe,0,50,0.9891921469755733,0.0731993941811405,0.0006009974718380314,0.215625,98.49369415862981,0.215625
tpe,1,32,0.8310429095469044,0.005808361216819946,0.0013394334706750498,0.244140625,98.49369415862981,0.244140625
tpe,2,68,0.9409064429814131,0.0020584494295802446,0.0018276027831785732,0.230859375,98.49369415862981,0.230859375
tpe,3,87,0.842255483024977,0.018182496720710064,0.00017322667470546282,0.2111328125,98.49369415862981,0.2111328125
tpe,4,44,0.9044265298948153,0.04319450186421158,0.00023927528765580657,0.2037109375,98.49369415862981,0.2037109375
tpe,5,69,0.8277592782697564,0.029214464853521818,0.000299673090971016,0.2068359375,98.49369415862981,0.2068359375
tpe,6,56,0.9562500163172097,0.019967378215835975,0.00046669637672369234,0.221484375,98.49369415862981,0.221484375
tpe,7,67,0.8092436321312796,0.06075448519014384,0.0001666698328606644,0.198828125,98.49369415862981,0.198828125
tpe,8,25,0.9888282219134134,0.09656320330745594,0.0011265466963346032,0.209375,98.49369415862981,0.209375
tpe,9,44,0.8194367506872704,0.0684233026512157,0.0003738105868191798,0.2044921875,98.49369415862981,0.2044921875
tpe,10,21,0.8723818070507046,0.0007547319316292961,0.000863740938988864,0.2181640625,98.49369415862981,0.2181640625
tpe,11,85,0.9192138591762227,0.0015144237102756837,0.0018827544393425408,0.238671875,98.49369415862981,0.238671875
tpe,12,96,0.8896375042775114,0.03456938491907062,0.0018172631771498516,0.226171875,98.49369415862981,0.226171875
tpe,13,84,0.9246230813073896,0.014156330794828344,0.0010536754363088814,0.22421875,98.49369415862981,0.22421875
tpe,14,32,0.8556482155169074,0.0007774596577465797,0.0014219772799623543,0.2765625,98.49369415862981,0.2765625
