sampler,trial,total_epochs,sca_num_cycles,sca_lr,val_accuracy,pruning_percentage,objective_value
tpe,0,50,10,0.0008960785365368125,0.2103515625,98.49369415862981,0.2103515625
tpe,1,68,4,0.00015957084694148357,0.2029296875,98.49369415862981,0.2029296875
tpe,2,24,9,0.0006054365855469249,0.194140625,98.49369415862981,0.194140625
tpe,3,77,3,0.0018276027831785732,0.1921875,98.49369415862981,0.1921875
tpe,4,87,4,0.0001724089219582153,0.211328125,98.49369415862981,0.211328125
tpe,5,34,5,0.0004816414530907088,0.1875,98.49369415862981,0.1875
tpe,6,54,5,0.0006252287916406219,0.2087890625,98.49369415862981,0.2087890625
tpe,7,31,5,0.000299673090971016,0.190234375,98.49369415862981,0.190234375
tpe,8,56,9,0.00018187859051288225,0.1873046875,98.49369415862981,0.1873046875
tpe,9,61,7,0.00011492999300221417,0.1951171875,98.49369415862981,0.1951171875
tpe,10,99,7,0.00025355993639901805,0.2142578125,98.49369415862981,0.2142578125
tpe,11,97,7,0.00027366538708377907,0.2375,98.49369415862981,0.2375
tpe,12,99,7,0.00027263309051458535,0.2208984375,98.49369415862981,0.2208984375
tpe,13,100,8,0.0003243866400266724,0.216015625,98.49369415862981,0.216015625
tpe,14,86,6,0.00035049482935841595,0.1931640625,98.49369415862981,0.1931640625
