sampler,trial,dpap_train_epochs,dpap_ema_decay,dpap_survival_decay,dpap_lr,val_accuracy,pruning_percentage,objective_value
cmaes,0,50,0.9891921469755733,0.0731993941811405,0.0006009974718380314,0.208984375,98.49369415862981,0.208984375
cmaes,1,50,0.8932734719296337,0.026005197357150456,0.0002996712404011482,0.210546875,98.49369415862981,0.210546875
cmaes,2,75,0.8974148679552452,0.02773330684003951,0.0002790780551696343,0.199609375,98.49369415862981,0.199609375
cmaes,3,52,0.9416386536192927,0.04823593269418818,0.000526398710039156,0.2173828125,98.49369415862981,0.2173828125
cmaes,4,57,0.8029341588438714,0.04099423790955377,0.0004757556163827672,0.2228515625,98.49369415862981,0.2228515625
cmaes,5,81,0.9287272539279711,0.07249420246830363,0.0002370101785720735,0.2052734375,98.49369415862981,0.2052734375
cmaes,6,37,0.9362454613923411,0.046081904756469325,0.00026790167171618254,0.199609375,98.49369415862981,0.199609375
cmaes,7,45,0.9285718574270692,0.03629080359208499,0.0002453576021479483,0.1962890625,98.49369415862981,0.1962890625
cmaes,8,65,0.9442566758638256,0.02669588684073372,0.0007490631329301274,0.20625,98.49369415862981,0.20625
cmaes,9,55,0.8623286237937654,0.049248817148237256,0.00045930825150459565,0.2087890625,98.49369415862981,0.2087890625
cmaes,10,46,0.8884919424597779,0.060494170708154195,0.0005589517335219158,0.2171875,98.49369415862981,0.2171875
cmaes,11,59,0.8573770321906847,0.04343575395471865,0.0018929112256547557,0.233203125,98.49369415862981,0.233203125
cmaes,12,36,0.8824331021768932,0.03977323017456849,0.0007157497980848224,0.2041015625,98.49369415862981,0.2041015625
cmaes,13,74,0.94864738506946,0.06989852901738272,0.0007653818886535597,0.2134765625,98.49369415862981,0.2134765625
cmaes,14,57,0.8439403477272848,0.03020308564605352,0.0008641788584598914,0.207421875,98.49369415862981,0.207421875
