sampler,trial,beta_max,val_accuracy,pruning_percentage,objective_value
random,0,0.11223032830669008,0.704296875,0.0,0.20429687500000004
random,1,1.5938909637287855,0.6998046875,0.0,0.19980468750000002
random,2,0.5821271826266137,0.7107421875,0.0,0.21074218749999996
random,3,0.31502640999559434,0.70078125,0.0,0.20078125000000002
random,4,0.04102676526174899,0.7,0.0,0.19999999999999996
random,5,0.04102220837686794,0.7044921875,0.0,0.20449218749999998
random,6,0.026133478476106562,0.70234375,0.0,0.20234375000000004
random,7,1.0798968819574857,0.7041015625,0.0,0.2041015625
random,8,0.31861045232482016,0.7111328125,0.0,0.21113281250000004
random,9,0.521404951674153,0.7005859375,0.0,0.20058593749999998
random,10,0.021988671149532388,0.7025390625,0.0,0.20253906249999998
random,11,1.74120417566097,0.703515625,0.0,0.20351562499999998
random,12,0.9245178002041654,0.703125,0.0,0.203125
random,13,0.05317508796654538,0.70390625,0.0,0.20390624999999996
random,14,0.04620403775690586,0.70703125,0.0,0.20703125
