sampler,trial,beta_max,val_accuracy,pruning_percentage,objective_value
cmaes,0,0.11223032830669008,0.6998046875,0.0,0.19980468750000002
cmaes,1,1.5938909637287855,0.7009765625,0.0,0.20097656249999996
cmaes,2,0.5821271826266137,0.7015625,0.0,0.20156249999999998
cmaes,3,0.31502640999559434,0.7033203125,0.0,0.20332031250000004
cmaes,4,0.04102676526174899,0.7109375,0.0,0.2109375
cmaes,5,0.04102220837686794,0.706640625,0.0,0.20664062500000002
cmaes,6,0.026133478476106562,0.703125,0.0,0.203125
cmaes,7,1.0798968819574857,0.7064453125,0.0,0.20644531249999998
cmaes,8,0.31861045232482016,0.703125,0.0,0.203125
cmaes,9,0.521404951674153,0.703125,0.0,0.203125
cmaes,10,0.021988671149532388,0.70234375,0.0,0.20234375000000004
cmaes,11,1.74120417566097,0.6990234375,0.0,0.19902343749999996
cmaes,12,0.9245178002041654,0.6978515625,0.0,0.19785156250000002
cmaes,13,0.05317508796654538,0.70078125,0.0,0.20078125000000002
cmaes,14,0.04620403775690586,0.704296875,0.0,0.20429687500000004
