sampler,trial,beta_max,val_accuracy,pruning_percentage,objective_value
tpe,0,0.11223032830669008,0.7017578125,0.0,0.20175781250000002
tpe,1,1.5938909637287855,0.707421875,0.0,0.20742187499999998
tpe,2,0.5821271826266137,0.7048828125,0.0,0.20488281249999996
tpe,3,0.31502640999559434,0.7037109375,0.0,0.20371093750000002
tpe,4,0.04102676526174899,0.701953125,0.0,0.20195312499999996
tpe,5,0.04102220837686794,0.7060546875,0.0,0.2060546875
tpe,6,0.026133478476106562,0.7072265625,0.0,0.20722656250000004
tpe,7,1.0798968819574857,0.6994140625,0.0,0.19941406250000004
tpe,8,0.31861045232482016,0.70234375,0.0,0.20234375000000004
tpe,9,0.521404951674153,0.7025390625,0.0,0.20253906249999998
tpe,10,1.8197833405369452,0.7041015625,0.0,0.2041015625
tpe,11,0.020306641002117824,0.707421875,0.0,0.20742187499999998
tpe,12,0.08689766176602393,0.702734375,0.0,0.20273437500000002
tpe,13,0.1238590680984849,0.701171875,0.0,0.201171875
tpe,14,1.8569975619302463,0.7052734375,0.0,0.20527343750000004
