phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,0.25908831557258966,0.0,0.0,0.25908831557258966,0.0,0.0,0.0,0.0,0.9149110880825254,0.15517299701459705,0.9515999764204025,54.043286085128784
finetune,2,0.2571149515339898,0.0,0.0,0.2571149515339898,0.0,0.0,0.0,0.0,0.9147333107391993,0.17146169317886234,0.9479999768733979,53.70639681816101
finetune,3,0.2529268815947904,0.0,0.0,0.2529268815947904,0.0,0.0,0.0,0.0,0.9160444213284387,0.1459723208937794,0.9537999778985977,53.569116830825806
finetune,4,0.2481300865393132,0.0,0.0,0.2481300865393132,0.0,0.0,0.0,0.0,0.9163333098093669,0.14380023992620408,0.9545999777317047,53.73537087440491
finetune,5,0.23894683349256715,0.0,0.0,0.23894683349256715,0.0,0.0,0.0,0.0,0.9215777544180552,0.14344674924388529,0.955799977183342,53.735015869140625
finetune,6,0.23975992761345374,0.0,0.0,0.23975992761345374,0.0,0.0,0.0,0.0,0.9214221988121668,0.15084883966483176,0.954199977517128,53.49738001823425
finetune,7,0.23535245632545815,0.0,0.0,0.23535245632545815,0.0,0.0,0.0,0.0,0.9230888654126062,0.15260622460395099,0.9527999758720398,53.40566396713257
finetune,8,0.22742285685924193,0.0,0.0,0.22742285685924193,0.0,0.0,0.0,0.0,0.9249333114756478,0.1415639903116971,0.9539999783039093,53.547056436538696
finetune,9,0.22524416180741455,0.0,0.0,0.22524416180741455,0.0,0.0,0.0,0.0,0.9251999774244096,0.15054415244609118,0.9561999756097793,53.95996427536011
finetune,10,0.21527280246838928,0.0,0.0,0.21527280246838928,0.0,0.0,0.0,0.0,0.9275777558485667,0.16082469647750258,0.9539999777078628,53.45016646385193
finetune,11,0.22056324023546445,0.0,0.0,0.22056324023546445,0.0,0.0,0.0,0.0,0.9264444209469689,0.14872362814843654,0.9561999756097793,53.39096260070801
finetune,12,0.2097501603803701,0.0,0.0,0.2097501603803701,0.0,0.0,0.0,0.0,0.9305777555041843,0.1355568017717451,0.9589999777078628,53.33478569984436
finetune,13,0.20774968036346966,0.0,0.0,0.20774968036346966,0.0,0.0,0.0,0.0,0.9313999764786827,0.14224838473834098,0.9561999773979187,53.78611707687378
finetune,14,0.1982578227058467,0.0,0.0,0.1982578227058467,0.0,0.0,0.0,0.0,0.9342888653940624,0.13914741056039928,0.9573999774456025,53.89993238449097
finetune,15,0.1935836876080268,0.0,0.0,0.1935836876080268,0.0,0.0,0.0,0.0,0.9372666447030173,0.14057925121858716,0.9573999738693237,53.486865282058716
finetune,16,0.19015572077594697,0.0,0.0,0.19015572077594697,0.0,0.0,0.0,0.0,0.9371777544418971,0.14168454434257,0.9563999778032303,53.704445123672485
finetune,17,0.1806674440515538,0.0,0.0,0.1806674440515538,0.0,0.0,0.0,0.0,0.9404888655079736,0.13501428751274944,0.9593999755382537,53.52642107009888
finetune,18,0.17565149835207397,0.0,0.0,0.17565149835207397,0.0,0.0,0.0,0.0,0.9430666441387601,0.13186167118139566,0.9579999780654908,53.64999294281006
finetune,19,0.1720646118827992,0.0,0.0,0.1720646118827992,0.0,0.0,0.0,0.0,0.9440221997764375,0.12166651273146271,0.9639999759197235,53.51324677467346
finetune,20,0.16733748857863248,0.0,0.0,0.16733748857863248,0.0,0.0,0.0,0.0,0.9453333103656769,0.12994887274689973,0.961199979186058,53.576500415802
finetune,21,0.16192606927827,0.0,0.0,0.16192606927827,0.0,0.0,0.0,0.0,0.9467777554194132,0.1295881032804027,0.9605999761819839,53.777525901794434
finetune,22,0.15619485360777213,0.0,0.0,0.15619485360777213,0.0,0.0,0.0,0.0,0.9488222004969915,0.12647966510616243,0.9639999777078628,53.17571020126343
finetune,23,0.160668706066596,0.0,0.0,0.160668706066596,0.0,0.0,0.0,0.0,0.9475999777184593,0.12270259974524379,0.9629999750852585,53.50163722038269
finetune,24,0.1572605614571108,0.0,0.0,0.1572605614571108,0.0,0.0,0.0,0.0,0.9483555328845977,0.11526264056563378,0.9655999767780304,53.427947998046875
finetune,25,0.1520432196981791,0.0,0.0,0.1520432196981791,0.0,0.0,0.0,0.0,0.9506221989128325,0.11876134243793786,0.9665999788045884,53.25946831703186
finetune,26,0.14436265523545444,0.0,0.0,0.14436265523545444,0.0,0.0,0.0,0.0,0.95291108806928,0.12067474562209099,0.9643999809026718,53.122997522354126
finetune,27,0.1442606195848849,0.0,0.0,0.1442606195848849,0.0,0.0,0.0,0.0,0.9534444224834442,0.11596861539408565,0.9637999784946442,53.16683888435364
finetune,28,0.14361328540162907,0.0,0.0,0.14361328540162907,0.0,0.0,0.0,0.0,0.9527555334568024,0.11497809453401714,0.9661999785900116,53.50657057762146
finetune,29,0.1435694209822557,0.0,0.0,0.1435694209822557,0.0,0.0,0.0,0.0,0.9527555331256654,0.11440516010858119,0.9653999811410904,53.15001153945923
finetune,30,0.14078952435611022,0.0,0.0,0.14078952435611022,0.0,0.0,0.0,0.0,0.9542888666523828,0.10926584295462817,0.9667999762296676,53.260552644729614
