layer,total,remaining,pruned,structurally_prunable,median_log_alpha
conv_layers.0,128,35,93,True,1.2081427574157715
conv_layers.1,128,127,1,True,0.730161190032959
conv_layers.2,256,109,147,True,1.0507779121398926
conv_layers.3,256,203,53,True,0.9169082045555115
conv_layers.4,512,81,431,True,1.1341906785964966
conv_layers.5,512,13,499,True,1.189182162284851
fc_layers.0,512,42,470,True,1.4857754707336426
