phase,epoch,train_task_loss,train_kl,train_total_loss,beta,train_accuracy,val_loss,val_accuracy,epoch_time_sec
dpap_train,1,0.2649506802879642,0.0,0.2649506802879642,0.0,0.9178965149359887,0.7025112189069579,0.8075553797468354,307.82790994644165
dpap_train,2,0.2847771947596694,0.0,0.2847771947596694,0.0,0.9118732219061166,0.6655079582823983,0.8069620253164557,308.06356024742126
dpap_train,3,0.28647627892929156,0.0,0.28647627892929156,0.0,0.910472972972973,0.7068069614941561,0.7964794303797469,308.21836972236633
dpap_train,4,0.2974488656241897,0.0,0.2974488656241897,0.0,0.9076724751066856,0.5552188980664257,0.8397943037974683,307.36915016174316
dpap_train,5,0.2876455642092194,0.0,0.2876455642092194,0.0,0.910450746799431,0.6360113439680655,0.8095332278481012,307.280385017395
dpap_train,6,0.28485857655067703,0.0,0.28485857655067703,0.0,0.9118065433854907,0.6792647583952433,0.8037974683544303,308.60654377937317
dpap_train,7,0.2850887405223731,0.0,0.2850887405223731,0.0,0.911650960170697,0.5031605783401977,0.8504746835443038,308.8524796962738
dpap_train,8,0.27761770543214437,0.0,0.27761770543214437,0.0,0.913473506401138,0.4991338162482539,0.8554193037974683,308.0105426311493
dpap_train,9,0.27512209041105057,0.0,0.27512209041105057,0.0,0.9142514224751067,0.5510326082570643,0.8449367088607594,307.6368329524994
dpap_train,10,0.2687737471602889,0.0,0.2687737471602889,0.0,0.9155849928876245,0.5770544441817682,0.8214003164556962,307.4917290210724
dpap_train,11,0.2659173044051503,0.0,0.2659173044051503,0.0,0.9170296941678521,0.870235895808739,0.787381329113924,307.375625371933
dpap_train,12,0.2568629106366278,0.0,0.2568629106366278,0.0,0.9197635135135135,0.642335868711713,0.8091376582278481,314.91005778312683
dpap_train,13,0.2486131157710152,0.0,0.2486131157710152,0.0,0.9225640113798008,0.6065443422220931,0.8057753164556962,312.34782218933105
dpap_train,14,0.2518809856436246,0.0,0.2518809856436246,0.0,0.9214527027027027,0.7675003490846934,0.7903481012658228,306.5883345603943
dpap_train,15,0.25442294389602976,0.0,0.25442294389602976,0.0,0.9213637980085349,0.6744199148320322,0.8121044303797469,308.42258405685425
dpap_train,16,0.24259216810018883,0.0,0.24259216810018883,0.0,0.9240753911806543,0.658708448179915,0.8113132911392406,309.2171585559845
dpap_train,17,0.2388042957968427,0.0,0.2388042957968427,0.0,0.9249422119487909,0.9384629945211773,0.7440664556962026,307.33004236221313
dpap_train,18,0.23852609238384628,0.0,0.23852609238384628,0.0,0.9250533428165008,0.5676324122314211,0.8356408227848101,308.0372362136841
dpap_train,19,0.24560538480113953,0.0,0.24560538480113953,0.0,0.9234752844950214,1.0170541713839467,0.741495253164557,307.3417625427246
dpap_train,20,0.2424058927273428,0.0,0.2424058927273428,0.0,0.9238531294452347,0.6968546822855745,0.7905458860759493,307.6987977027893
dpap_train,21,0.24989644276404788,0.0,0.24989644276404788,0.0,0.9205192034139402,0.8803957308395,0.7503955696202531,309.95452189445496
dpap_train,22,0.269421872795476,0.0,0.269421872795476,0.0,0.9138513513513513,0.8173934892763065,0.7602848101265823,309.8378953933716
dpap_train,23,0.2763524245295891,0.0,0.2763524245295891,0.0,0.9103396159317212,1.8070692420005798,0.5615110759493671,310.31069016456604
dpap_train,24,0.3112069755835011,0.0,0.3112069755835011,0.0,0.8988486842105263,1.4695295125623293,0.5870253164556962,307.2252130508423
dpap_train,25,0.3475819609285588,0.0,0.3475819609285588,0.0,0.8860241820768137,1.106525822530819,0.6774129746835443,306.4008116722107
dpap_train,26,0.4022642561204064,0.0,0.4022642561204064,0.0,0.8669318990042674,1.9883606373509275,0.5029667721518988,305.33386182785034
dpap_train,27,0.5013606546613604,0.0,0.5013606546613604,0.0,0.832903627311522,1.9175705894639221,0.5015822784810127,306.7713944911957
dpap_train,28,0.6255307014220809,0.0,0.6255307014220809,0.0,0.7905405405405406,2.9646464933322956,0.3447389240506329,317.3619737625122
dpap_train,29,0.8375103822134298,0.0,0.8375103822134298,0.0,0.7176831436699858,3.1425643540635892,0.2822389240506329,307.1405875682831
dpap_train,30,1.0691527814987205,0.0,1.0691527814987205,0.0,0.633401493598862,4.904031047338171,0.12203322784810126,306.5726521015167
finetune,1,1.03471052951867,0.0,1.03471052951867,0.0,0.6403138335704125,0.8383734060239189,0.7209256329113924,277.27275490760803
finetune,2,0.7603816700354749,0.0,0.7603816700354749,0.0,0.7420208036984353,0.7993843336648578,0.7361550632911392,275.2918062210083
finetune,3,0.6807651242524767,0.0,0.6807651242524767,0.0,0.7705814366998578,0.7166904101643381,0.7763053797468354,275.9200179576874
finetune,4,0.6299256387340225,0.0,0.6299256387340225,0.0,0.7874511024182077,0.6642160834390906,0.7749208860759493,277.06076526641846
finetune,5,0.598265929844437,0.0,0.598265929844437,0.0,0.7994087837837838,0.6757703695116164,0.7749208860759493,275.3139281272888
finetune,6,0.5641870937425415,0.0,0.5641870937425415,0.0,0.8105218705547653,0.6448738077018834,0.7794699367088608,273.9788451194763
finetune,7,0.5467540123850998,0.0,0.5467540123850998,0.0,0.8169896870554765,0.6706012030945548,0.7869857594936709,273.34299516677856
finetune,8,0.5226150558225461,0.0,0.5226150558225461,0.0,0.8241465149359887,0.5607400064981436,0.8166534810126582,273.22122859954834
finetune,9,0.5055038553171104,0.0,0.5055038553171104,0.0,0.8316145092460882,0.6139519314599943,0.7915348101265823,274.07974314689636
finetune,10,0.49020196779354197,0.0,0.49020196779354197,0.0,0.8347706258890469,0.5613058953534199,0.8134889240506329,273.44587326049805
finetune,11,0.474543947201874,0.0,0.474543947201874,0.0,0.8409717283072546,0.5849291683658014,0.8152689873417721,273.89241218566895
finetune,12,0.46499108539027817,0.0,0.46499108539027817,0.0,0.845550320056899,0.5151580309000197,0.8277294303797469,280.49050641059875
finetune,13,0.452358939357706,0.0,0.452358939357706,0.0,0.8484841749644382,0.5142808887117272,0.8303006329113924,275.2210931777954
finetune,14,0.43876395263254725,0.0,0.43876395263254725,0.0,0.8543963371266002,0.4968569363597073,0.8346518987341772,274.9198079109192
finetune,15,0.42889037274703873,0.0,0.42889037274703873,0.0,0.8579969772403983,0.5334692608706558,0.8251582278481012,275.78332257270813
