Model,Criterion,Target Keep Fraction,Original Parameters,Remaining Parameters,Pruning Percentage,Accuracy After,Fine Tune Time,FLOPs,Latency,GPU Memory
lenet,naive_firing_rate,0.1,62006,934,98.49369415862981,0.22349683544303797,607.7978262901306,1614400,35.92430987395346,19.30908203125
lenet,sca,0.1,62006,934,98.49369415862981,0.24732990506329114,614.2753188610077,1614400,35.70945668965578,19.6865234375
lenet,dpap,0.1,62006,934,98.49369415862981,0.2297270569620253,591.3578531742096,1614400,35.39060214534402,19.8232421875
vgg9,naive_firing_rate,0.1,8887978,90080,98.98649614119208,0.6673964968152867,3397.8049223423004,62016800,66.81999525055289,186.24169921875
vgg9,sca,0.1,8887978,90080,98.98649614119208,0.5178144904458599,3401.4573018550873,62016800,66.22867087833583,238.81494140625
vgg9,dpap,0.1,8887978,90080,98.98649614119208,0.6592356687898089,3406.755718946457,62016800,66.80585054680705,255.09716796875
resnet18,naive_firing_rate,0.1,11177866,1285642,88.49832338301425,0.8342953821656051,8517.203969717026,1555481600,167.61841643601656,552.2216796875
resnet18,sca,0.1,11177866,1285642,88.49832338301425,0.8257364649681529,8329.57331442833,1555481600,168.94265179522336,637.38818359375
resnet18,dpap,0.1,11177866,1285642,88.49832338301425,0.851015127388535,8244.18667268753,1555481600,166.40836323611438,675.51904296875
