Model,Original Parameters,Remaining Parameters,Compression Ratio,Pruning Percentage,Accuracy Before,Accuracy After,Training Time,Fine Tune Time,FLOPs,Latency,GPU Memory
lenet,62006,37867,1.637467980035387,38.930103538367256,0.6894778481012658,0.26700949367088606,6002.0680685043335,597.6189429759979,15692425,36.22406180948019,18.2158203125
vgg9,8887978,114347,77.72812579254375,98.71346441226565,0.8500199044585988,0.8607683121019108,29784.69064760208,3279.389641523361,893658450,68.8192590419203,124.12841796875
resnet18,11177866,1050757,10.637917234907786,90.59966365673017,0.8926154458598726,0.8893312101910829,77135.72055983543,8248.882965564728,7291520000,170.5033586686477,240.82666015625
