Point,Selection,Achieved Pruned %,SynOps Budget,Kept SynOps Fraction,Keep Plan,Original Parameters,Remaining Parameters,Accuracy After,Fine Tune Best Val,SynOps After,Dense MACs After,Gate Saturation,Log Alpha Std,Ranking Usable,Layers At Min Width,FLOPs,Latency
params 33.46%,log_alpha/uniform,33.34677880284984,,,uniform_ratio(keep_fraction=0.8164 -> 33.35% of parameters pruned (target 33.46%)),21362834,14239017,0.9362999784946442,0.9827999824285507,552019190.528,3323395744.0,0.0,0.29660674929618835,True,0,3323395744,21.78735596127808
params 50.8%,log_alpha/uniform,50.8007036894075,,,uniform_ratio(keep_fraction=0.7012 -> 50.80% of parameters pruned (target 50.8%)),21362834,10510364,0.9284999781847,0.975799977183342,428661324.448,2470566960.0,0.0,0.29660674929618835,True,0,2470566960,21.625726567581296
params 70%,log_alpha/uniform,70.07593655411075,,,uniform_ratio(keep_fraction=0.5469 -> 70.08% of parameters pruned (target 70%)),21362834,6392628,0.922499974668026,0.96399997651577,279614313.62,1500714880.0,0.0,0.29660674929618835,True,0,1500714880,21.335248183459044
params 90%,log_alpha/uniform,89.97746740905257,,,uniform_ratio(keep_fraction=0.3164 -> 89.98% of parameters pruned (target 90%)),21362834,2141097,0.8905999758839607,0.912199974656105,98093874.57,502312608.0,0.0,0.29660674929618835,True,0,502312608,21.569765554741025
