stage,test_loss,test_accuracy,parameters,flops,latency_ms,gpu_memory_mb
before_pruning,0.5129301896330657,0.8500199044585988,8887978,5870587200,73.6835723510012,122.8544921875
after_pruning,2.3025848895880827,0.10011942675159236,1420,33336650,66.4781731995754,108.8125
