layer,total,remaining,pruned,structurally_prunable,median_log_alpha
conv_layers.0,128,70,58,True,1.2081427574157715
conv_layers.1,128,70,58,True,0.730161190032959
conv_layers.2,256,140,116,True,1.0507779121398926
conv_layers.3,256,140,116,True,0.9169082045555115
conv_layers.4,512,280,232,True,1.1341906785964966
conv_layers.5,512,280,232,True,1.189182162284851
fc_layers.0,512,280,232,True,1.4857754707336426
