stage,test_loss,test_accuracy,parameters,flops,latency_ms,gpu_memory_mb
before_pruning,0.8519877376435678,0.6894778481012658,62006,16293000,37.99950967077166,17.81201171875
after_pruning,1.4338227932966208,0.44244462025316456,21039,15272750,35.95807970967144,18.08984375
