phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_accuracy,val_loss,val_accuracy,epoch_time_sec
bayesian_train,1,0.17670223561167303,4875.375302734375,4982036287.715555,0.17670223561167303,0.0,0.0,0.9485999782217873,0.0055678678979165855,0.9995999991893768,81.19092035293579
bayesian_train,2,0.17326770510938433,4764.93476453993,4981229346.133333,4.938202705383301,0.001,0.0,0.9461555330620872,0.009745497317053377,0.9981999969482422,71.67600131034851
bayesian_train,3,0.17498320810289847,4534.854643554688,4979070044.16,9.244692930645414,0.002,0.0,0.9440888667768902,0.014485547645017504,0.9961999928951264,71.80754208564758
bayesian_train,4,0.17870224186167535,4272.114310980903,4975961063.537778,12.995045308007134,0.003,0.0,0.9425777549876108,0.011564093409106135,0.9967999941110611,71.49151349067688
bayesian_train,5,0.1784766458823449,3998.4748673502604,4972008120.888889,16.172376902898154,0.004,0.0,0.942711089319653,0.012270547410007566,0.9971999949216843,71.87930822372437
bayesian_train,6,0.18580554034353958,3722.92856391059,4967227892.622222,18.80044795566135,0.005,0.0,0.9405777555704117,0.015365377420093864,0.9957999932765961,71.6157808303833
bayesian_train,7,0.19355984100347592,3453.500045301649,4961659060.337778,20.914560311635334,0.006,0.0,0.9380666443374421,0.017009716022294015,0.9957999932765961,71.19208693504333
bayesian_train,8,0.21134022930223081,3183.276853298611,4955030483.626667,22.494278895060223,0.006999999999999999,0.0,0.9337333114279641,0.0146362668951042,0.9967999941110611,71.66047859191895
bayesian_train,9,0.22229634668885007,2918.1334415690103,4947280199.68,23.567364995744494,0.008,0.0,0.9294221991300583,0.01934469266794622,0.9945999902486801,71.30557012557983
bayesian_train,10,0.2316250065010455,2657.7259906684026,4938160847.644444,24.151157942877877,0.009000000000000001,0.0,0.9262444219324324,0.030364572424441575,0.993599990606308,71.82305717468262
bayesian_train,11,0.24629438084446723,2410.653650173611,4927718231.04,24.35283035490248,0.01,0.0,0.9216666430234909,0.0409153118589893,0.9889999836683273,71.54770040512085
bayesian_train,12,0.2589726501579086,2190.1046554904515,4916488133.973333,22.16001872592502,0.01,0.0,0.9179333097404904,0.05707136400043964,0.9847999811172485,71.55526208877563
bayesian_train,13,0.2810356155369017,1989.9809594726562,4904206601.102222,20.180844737158882,0.01,0.0,0.9118666433625751,0.07362711107358337,0.9741999793052674,71.90302205085754
bayesian_train,14,0.29536197843237055,1811.2224567328558,4891041228.231112,18.407586199442544,0.01,0.0,0.9069999772310257,0.10866684157401324,0.9703999751806259,71.54139471054077
bayesian_train,15,0.31888776544067593,1648.7091437445747,4876703505.066667,16.805978803634645,0.01,0.0,0.901333310339186,0.1330273561924696,0.9355999773740769,71.47074961662292
bayesian_train,16,0.3503142563584778,1505.621888156467,4861663011.2711115,15.406532807879978,0.01,0.0,0.8906444192594952,0.1640911864489317,0.9385999763011932,71.81083488464355
bayesian_train,17,0.38298264655801983,1377.5632548014323,4845728765.155556,14.158614889780681,0.01,0.0,0.8811110860771603,0.21174162365496157,0.9013999766111374,71.88354706764221
bayesian_train,18,0.4097258476830191,1263.9730803765192,4829106319.36,13.049456372790866,0.01,0.0,0.8747555310196347,0.2535758087038994,0.877399976849556,71.4675874710083
bayesian_train,19,0.45417373746633527,1166.5210868326824,4812486214.542222,12.119384320576986,0.01,0.0,0.8611555316050847,0.3001471273601055,0.853199976682663,71.59910774230957
bayesian_train,20,0.48802930244141157,1081.1639518229167,4795737246.72,11.299668613009983,0.01,0.0,0.8521333088477453,0.35232424482703206,0.8179999756813049,71.40939521789551
bayesian_train,21,0.5282342479460769,1006.6828399658203,4779021991.822222,10.595062419043646,0.01,0.0,0.8385999751753277,0.39860725939273833,0.7965999776124955,71.4381697177887
bayesian_train,22,0.5729186191823747,940.8882262505425,4762273701.546667,9.981800674862331,0.01,0.0,0.8239110877778795,0.46224127352237704,0.750399980545044,71.63867020606995
bayesian_train,23,0.6051671243707339,883.4837292480469,4745789941.191112,9.440004221598308,0.01,0.0,0.8133999763594734,0.5415142750740052,0.6877999877929688,71.29594707489014
bayesian_train,24,0.6274300091465315,832.9326589626736,4729534581.76,8.956756401062012,0.01,0.0,0.8066666423612171,0.560388748049736,0.6501999866962432,71.2527425289154
bayesian_train,25,0.6696560119920306,788.0949476453993,4713515394.844444,8.550605316162109,0.01,0.0,0.7950888678762648,0.6359350702166557,0.611999984383583,71.75108456611633
bayesian_train,26,0.7032793638110161,748.1930777316624,4697762351.786667,8.185209974712796,0.01,0.0,0.7850444238715701,0.6795532864332199,0.5665999847650528,71.88489484786987
bayesian_train,27,0.7429253423213958,712.7981671142578,4682462113.564445,7.870906848377651,0.01,0.0,0.7698444258504443,0.7355802726745605,0.542999983727932,71.46144270896912
bayesian_train,28,0.7632691332697868,681.4211144341363,4667663386.168889,7.577480125427246,0.01,0.0,0.7611999806430605,0.7598030108213425,0.5139999833703041,71.71861028671265
bayesian_train,29,0.7866423340307341,653.2212568495008,4653225204.053333,7.318854752116733,0.01,0.0,0.754377760887146,0.8060941219329834,0.5101999840140343,71.73693823814392
bayesian_train,30,0.8039629196127256,627.3370754665799,4638938654.151111,7.077333534558614,0.01,0.0,0.7463110930389828,0.8723534363508224,0.45199998587369916,71.82087254524231
bayesian_train,31,0.8233124474022123,603.8054606119791,4624976839.68,6.861366923650106,0.01,0.0,0.7406222054693434,0.9072273135185241,0.41559998869895937,71.42551970481873
bayesian_train,32,0.8468147896726926,582.73677605523,4611601331.768888,6.674182424015469,0.01,0.0,0.7302222073078155,0.9339189016819001,0.4157999888062477,71.14799880981445
bayesian_train,33,0.8657349137134022,563.7298430040148,4598692650.097777,6.503033220503065,0.01,0.0,0.7266666500435935,0.9243792301416397,0.4227999882400036,71.31057024002075
bayesian_train,34,0.8760917775829633,546.2710361056858,4586117078.471111,6.338802032470703,0.01,0.0,0.7238444287909401,0.974147886633873,0.38579998970031737,72.02150201797485
bayesian_train,35,0.9046292941768964,530.2383871799045,4573925597.866667,6.207013049125671,0.01,0.0,0.7107333187262217,1.0026282066106795,0.36279999077320096,71.85535192489624
bayesian_train,36,0.9191095991598235,515.640375942654,4562241802.24,6.075513246324327,0.01,0.0,0.707555540005366,1.0118676567077636,0.37419999197125436,71.83395886421204
bayesian_train,37,0.9320350074768067,502.2720163642036,4550986990.364445,5.9547550736533275,0.01,0.0,0.7015999849968486,1.0308940368890762,0.3589999908208847,71.98437237739563
bayesian_train,38,0.9421808167298635,490.1372228664822,4540290991.786667,5.843552933798896,0.01,0.0,0.6983333195580377,1.0404401952028275,0.3623999904096127,70.83678078651428
bayesian_train,39,0.9572643637326028,478.7596693250868,4529825923.982223,5.744860928323534,0.01,0.0,0.6927110963397556,1.0769014137983322,0.3541999904811382,70.881906747818
bayesian_train,40,0.9627474164300495,468.4056803724501,4519907016.248889,5.646804113917881,0.01,0.0,0.6929777636792924,1.0674977332353592,0.35099999025464057,70.79143214225769
bayesian_train,41,0.9731575393014484,458.8455174763997,4510399902.151111,5.561612627241346,0.01,0.0,0.6872666516900062,1.1028957349061965,0.34639999076724054,71.50299167633057
bayesian_train,42,0.991896912654241,450.1161612955729,4501437635.697778,5.4930584303538,0.01,0.0,0.6790888742605845,1.1172669857740403,0.3169999922811985,71.07740616798401
bayesian_train,43,0.988872663643625,442.08721198187936,4492867667.626667,5.40974468919966,0.01,0.0,0.6801777636342579,1.121870400905609,0.33139999136328696,71.75431728363037
bayesian_train,44,1.0072325323025386,434.5072517903646,4484502977.422222,5.352304956118266,0.01,0.0,0.6748444306850433,1.1374763983488083,0.3285999917984009,71.83567905426025
bayesian_train,45,1.0089063350690737,427.65945875379776,4476748043.946667,5.28550081094106,0.01,0.0,0.6724888744288021,1.1275823187828065,0.3191999922692776,71.78192138671875
bayesian_train,46,1.0085249307420519,421.33878645155164,4469382269.724444,5.22191270298428,0.01,0.0,0.6736444298757447,1.1294045913219453,0.3287999904155731,71.68670916557312
bayesian_train,47,1.0120788900057476,415.57745164659286,4462509913.884444,5.1678533098432755,0.01,0.0,0.6706888740592533,1.1559463047981262,0.3263999916613102,72.29256772994995
bayesian_train,48,1.0193110358715058,410.2979726494683,4456065658.88,5.122290670606825,0.01,0.0,0.669511096212599,1.1465876698493958,0.330799989849329,72.24281167984009
bayesian_train,49,1.0384775553146999,405.37296027289494,4449934448.64,5.092207062509325,0.01,0.0,0.6636444304055638,1.153353590965271,0.33499999180436135,71.69812989234924
