Target Pruned %,Achieved Pruned %,Keep Plan,Mode,Original Parameters,Remaining Parameters,Accuracy After,Fine Tune Best Val,Gate Saturation,Log Alpha Std,Ranking Usable,Layers At Min Width,FLOPs,Latency
20.0,19.9846939783364,uniform_ratio(keep_fraction=0.8945 -> 19.98% of parameters pruned (target 20%)),uniform,21362834,17093537,0.9327999782562256,0.9865999817848206,0.0,0.30776092410087585,True,0,3988486944,22.1879312582314
33.46,33.34677880284984,uniform_ratio(keep_fraction=0.8164 -> 33.35% of parameters pruned (target 33.46%)),uniform,21362834,14239017,0.9337999784946441,0.9819999808073043,0.0,0.30776092410087585,True,0,3323395744,22.189611168578267
50.8,50.8007036894075,uniform_ratio(keep_fraction=0.7012 -> 50.80% of parameters pruned (target 50.8%)),uniform,21362834,10510364,0.9333999773859978,0.9769999778270722,0.0,0.30776092410087585,True,0,2470566960,21.907630320638418
70.0,70.07593655411075,uniform_ratio(keep_fraction=0.5469 -> 70.08% of parameters pruned (target 70%)),uniform,21362834,6392628,0.9245999771356582,0.9637999767065049,0.0,0.30776092410087585,True,0,1500714880,21.91198225133121
90.0,89.97746740905257,uniform_ratio(keep_fraction=0.3164 -> 89.98% of parameters pruned (target 90%)),uniform,21362834,2141097,0.8938999775052071,0.9145999765396118,0.0,0.30776092410087585,True,0,502312608,21.83128680102527
