stage,test_loss,test_accuracy,parameters,flops,latency_ms,gpu_memory_mb
before_pruning,0.5418616860250759,0.8926154458598726,11177866,13885568000,173.98434326052666,196.94384765625
after_pruning,0.5814479679628543,0.8893312101910829,1050757,7291520000,170.5033586686477,240.82666015625
