phase,epoch,train_task_loss,train_kl,train_total_loss,beta,train_accuracy,val_loss,val_accuracy,epoch_time_sec
pretrain,1,2.3901345197371024,8259.2646484375,2.3901345197371024,0.0,0.12860064011379801,2.302584892586817,0.09790348101265822,308.2912771701813
pretrain,2,2.2424175303487655,8259.2646484375,2.2424175303487655,0.0,0.16447368421052633,2.277411020254787,0.10917721518987342,285.78244495391846
pretrain,3,2.0577626040107324,8259.2646484375,2.0577626040107324,0.0,0.257823613086771,2.060523950600926,0.2757120253164557,284.6114294528961
pretrain,4,1.5267191753957214,8259.2646484375,1.5267191753957214,0.0,0.4415896159317212,1.909578591962404,0.3682753164556962,286.66565895080566
pretrain,5,1.2720526110057642,8259.2646484375,1.2720526110057642,0.0,0.5379845305832148,1.5436789416059662,0.4744857594936709,288.04641032218933
pretrain,6,1.1466373630811275,8259.2646484375,1.1466373630811275,0.0,0.5876822546230441,1.5051002638249458,0.47923259493670883,287.05457639694214
pretrain,7,1.0524486536491306,8259.2646484375,1.0524486536491306,0.0,0.6252222617354196,1.3882417724102358,0.5215585443037974,285.9647138118744
pretrain,8,0.966944386830201,8259.2646484375,0.966944386830201,0.0,0.6609174964438123,0.96719940176493,0.667128164556962,286.83780884742737
pretrain,9,0.8863911787697126,8259.2646484375,0.8863911787697126,0.0,0.6943901137980085,0.9374446359616292,0.6730617088607594,285.8561933040619
pretrain,10,0.8223472792088222,8259.2646484375,0.8223472792088222,0.0,0.7211059743954481,1.0608232851269879,0.5743670886075949,293.52703166007996
pretrain,11,0.7597864706858802,8259.2646484375,0.7597864706858802,0.0,0.7447323968705548,0.7967570261864723,0.7325949367088608,286.73466181755066
pretrain,12,0.7017046940191033,8259.2646484375,0.7017046940191033,0.0,0.7660472972972973,0.8457676349561426,0.7100474683544303,287.3973956108093
pretrain,13,0.6642600830808643,8259.2646484375,0.6642600830808643,0.0,0.7799831081081081,0.7450547561615328,0.7490110759493671,287.53083086013794
pretrain,14,0.6283321482358583,8259.2646484375,0.6283321482358583,0.0,0.7903627311522048,0.6098765972294385,0.776503164556962,289.6357624530792
pretrain,15,0.5974528825554366,8259.2646484375,0.5974528825554366,0.0,0.8027204836415363,0.7043432929093325,0.7507911392405063,286.59744000434875
pretrain,16,0.5696434676223255,8259.2646484375,0.5696434676223255,0.0,0.8119221194879089,0.652743280311174,0.771756329113924,288.71779203414917
pretrain,17,0.5461139413998443,8259.2646484375,0.5461139413998443,0.0,0.8192345305832148,0.7178135908479932,0.7592958860759493,292.8943018913269
pretrain,18,0.5192129848522279,8259.2646484375,0.5192129848522279,0.0,0.8295697012802276,0.6077799380202836,0.7885680379746836,284.2595753669739
pretrain,19,0.504563121779545,8259.2646484375,0.504563121779545,0.0,0.8353040540540541,0.6775213960982576,0.7699762658227848,285.05492520332336
pretrain,20,0.49734094654174144,8259.2646484375,0.49734094654174144,0.0,0.8356818990042674,0.5427568983050841,0.8200158227848101,289.03944158554077
pretrain,21,0.4742261765055772,8259.2646484375,0.4742261765055772,0.0,0.8456169985775249,0.5909739446979535,0.8079509493670886,284.7472758293152
pretrain,22,0.45989210225355576,8259.2646484375,0.45989210225355576,0.0,0.8488397937411095,0.5952737576599363,0.8006329113924051,284.0354723930359
pretrain,23,0.4460231571711314,8259.2646484375,0.4460231571711314,0.0,0.854596372688478,0.5418667676328104,0.8227848101265823,284.0962550640106
pretrain,24,0.43508537652058416,8259.2646484375,0.43508537652058416,0.0,0.8608197012802276,0.5076818237953549,0.8374208860759493,285.62646436691284
pretrain,25,0.4258102617129832,8259.2646484375,0.4258102617129832,0.0,0.8609308321479374,0.5087723200079761,0.8269382911392406,284.78752064704895
pretrain,26,0.41085899685897664,8259.2646484375,0.41085899685897664,0.0,0.8667318634423897,0.5018309154842473,0.8348496835443038,283.852867603302
pretrain,27,0.4005750071781967,8259.2646484375,0.4005750071781967,0.0,0.8689544807965861,0.5300933071706868,0.8217958860759493,284.14391922950745
pretrain,28,0.3930787970212581,8259.2646484375,0.3930787970212581,0.0,0.8718216571834992,0.5715085051576548,0.8251582278481012,283.96696853637695
pretrain,29,0.3754250079732531,8259.2646484375,0.3754250079732531,0.0,0.8786895448079659,0.6517037749290466,0.7893591772151899,285.11189341545105
pretrain,30,0.3706367432244472,8259.2646484375,0.3706367432244472,0.0,0.8803120554765291,0.5524316060392163,0.8267405063291139,284.58853340148926
pretrain,31,0.36240528027923147,8259.2646484375,0.36240528027923147,0.0,0.8835126244665719,0.5965046793976917,0.8168512658227848,307.6835877895355
pretrain,32,0.35160693064183635,8259.2646484375,0.35160693064183635,0.0,0.8873799786628734,0.5456701841535447,0.8223892405063291,292.9287042617798
pretrain,33,0.3480607789025707,8259.2646484375,0.3480607789025707,0.0,0.8898915362731152,0.5783821217998674,0.8166534810126582,295.818195104599
pretrain,34,0.33714678002836695,8259.2646484375,0.33714678002836695,0.0,0.8921363798008535,0.4785805263474018,0.8510680379746836,296.0837826728821
pretrain,35,0.3283780233068114,8259.2646484375,0.3283780233068114,0.0,0.8956481152204836,0.48741631822872766,0.8479034810126582,287.0969748497009
pretrain,36,0.32260796826221527,8259.2646484375,0.32260796826221527,0.0,0.8967816500711238,0.5341652582717847,0.8405854430379747,285.9278681278229
pretrain,37,0.3165087119423139,8259.2646484375,0.3165087119423139,0.0,0.9003378378378378,0.4967442045483408,0.8405854430379747,293.572548866272
pretrain,38,0.31325844950857407,8259.2646484375,0.31325844950857407,0.0,0.8998266358463727,0.5240878549557698,0.8318829113924051,291.1190323829651
pretrain,39,0.305429234136304,8259.2646484375,0.305429234136304,0.0,0.9027827169274538,0.4812037003568456,0.8453322784810127,286.23317098617554
pretrain,40,0.2975828270315276,8259.2646484375,0.2975828270315276,0.0,0.9057165718349929,0.4869133872274734,0.8536392405063291,286.5787787437439
pretrain,41,0.2939691552163697,8259.2646484375,0.2939691552163697,0.0,0.9058721550497866,0.4211588597891829,0.8643196202531646,284.22187638282776
pretrain,42,0.2839753115456949,8259.2646484375,0.2839753115456949,0.0,0.9101173541963016,0.43514533359793167,0.8682753164556962,285.6337203979492
pretrain,43,0.28242309173174296,8259.2646484375,0.28242309173174296,0.0,0.9107396870554765,0.5512378593505938,0.8378164556962026,285.4394347667694
pretrain,44,0.27095628947358724,8259.2646484375,0.27095628947358724,0.0,0.9149848862019915,0.3965965705581858,0.8736155063291139,290.99747371673584
pretrain,45,0.2638755688711386,8259.2646484375,0.2638755688711386,0.0,0.9171852773826458,0.46828512922872473,0.8502768987341772,289.6273992061615
pretrain,46,0.2627320350657825,8259.2646484375,0.2627320350657825,0.0,0.9175631223328592,0.5115682244583776,0.8423655063291139,286.8740656375885
pretrain,47,0.2566236445354364,8259.2646484375,0.2566236445354364,0.0,0.9197412873399715,0.4685763314224874,0.8573971518987342,286.4131820201874
pretrain,48,0.2506910619215979,8259.2646484375,0.2506910619215979,0.0,0.9204747510668563,0.4565372294451617,0.8585838607594937,291.50447177886963
pretrain,49,0.24032592986462636,8259.2646484375,0.24032592986462636,0.0,0.9258312588904695,0.45695663554758964,0.861748417721519,287.5493047237396
pretrain,50,0.24027227204436089,8259.2646484375,0.24027227204436089,0.0,0.9243421052631579,0.4843357639693761,0.8607594936708861,285.93830370903015
pretrain,51,0.23497252784679998,8259.2646484375,0.23497252784679998,0.0,0.9261646514935988,0.45347722077482866,0.8623417721518988,285.1926476955414
pretrain,52,0.22530348681093618,8259.2646484375,0.22530348681093618,0.0,0.9297875177809388,0.3853332817177229,0.8807357594936709,285.9580316543579
pretrain,53,0.21973951966375918,8259.2646484375,0.21973951966375918,0.0,0.9320101351351351,0.4604946833245362,0.8631329113924051,285.79229617118835
pretrain,54,0.21676599870768415,8259.2646484375,0.21676599870768415,0.0,0.933299253200569,0.4058169392468054,0.8809335443037974,286.05478048324585
