layer,total,remaining,pruned
stem_conv,64,64,0
stage1.0.conv1,64,64,0
stage1.0.conv2,64,64,0
stage1.1.conv1,64,64,0
stage1.1.conv2,64,64,0
stage2.0.conv1,128,124,4
stage2.0.conv2,128,128,0
stage2.1.conv1,128,105,23
stage2.1.conv2,128,74,54
stage3.0.conv1,256,53,203
stage3.0.conv2,256,34,222
stage3.1.conv1,256,13,243
stage3.1.conv2,256,11,245
stage4.0.conv1,512,0,512
stage4.0.conv2,512,0,512
stage4.1.conv1,512,0,512
stage4.1.conv2,512,0,512
