phase,epoch,train_task_loss,train_kl,train_cost,train_total_loss,beta,gamma,train_synops,lambda,train_accuracy,val_loss,val_accuracy,epoch_time_sec
finetune,1,0.3907742009436091,0.0,0.0,0.3907742009436091,0.0,0.0,0.0,0.0,0.8769110857778125,0.08107976846396923,0.9751999813318253,50.495415449142456
finetune,2,0.30313420347041553,0.0,0.0,0.30313420347041553,0.0,0.0,0.0,0.0,0.900266643166542,0.0653707705019042,0.9781999772787094,50.42784142494202
finetune,3,0.2823783918242488,0.0,0.0,0.2823783918242488,0.0,0.0,0.0,0.0,0.9081555323468314,0.06316579535603523,0.9795999819040299,50.50799059867859
finetune,4,0.2759265666620599,0.0,0.0,0.2759265666620599,0.0,0.0,0.0,0.0,0.9081333093510734,0.06297529978211969,0.9783999806642533,50.20756530761719
finetune,5,0.26868150387994116,0.0,0.0,0.26868150387994116,0.0,0.0,0.0,0.0,0.9119777535067665,0.05790896746329963,0.9805999791622162,50.0469708442688
finetune,6,0.26964083410592543,0.0,0.0,0.26964083410592543,0.0,0.0,0.0,0.0,0.9100221988889906,0.06959409763105213,0.9781999790668487,50.47333645820618
finetune,7,0.25513072616110244,0.0,0.0,0.25513072616110244,0.0,0.0,0.0,0.0,0.9162888656722175,0.06710394839290529,0.9803999769687652,50.55147838592529
finetune,8,0.25565887219582994,0.0,0.0,0.25565887219582994,0.0,0.0,0.0,0.0,0.9146221996678247,0.0613660299917683,0.9787999808788299,50.23314023017883
finetune,9,0.2449384144652221,0.0,0.0,0.2449384144652221,0.0,0.0,0.0,0.0,0.9166444209549162,0.07102875356096774,0.9761999762058258,50.56155586242676
finetune,10,0.23995737809894813,0.0,0.0,0.23995737809894813,0.0,0.0,0.0,0.0,0.9207333102491166,0.07325299670919776,0.9783999794721603,50.30778789520264
finetune,11,0.2391183767053816,0.0,0.0,0.2391183767053816,0.0,0.0,0.0,0.0,0.9203333101669947,0.07052092936821282,0.9781999790668487,50.45459794998169
finetune,12,0.22403746131807567,0.0,0.0,0.22403746131807567,0.0,0.0,0.0,0.0,0.9258888650602765,0.07448627915699035,0.9757999813556671,50.52455139160156
finetune,13,0.2199075678591099,0.0,0.0,0.2199075678591099,0.0,0.0,0.0,0.0,0.9278888654708862,0.0587746184784919,0.9815999805927277,50.5494601726532
finetune,14,0.21869455974135135,0.0,0.0,0.21869455974135135,0.0,0.0,0.0,0.0,0.9277777549293306,0.0603232386149466,0.9817999815940857,50.55908989906311
finetune,15,0.21159007948409353,0.0,0.0,0.21159007948409353,0.0,0.0,0.0,0.0,0.929222199122111,0.06185548811219633,0.9799999797344208,50.526447057724
finetune,16,0.20505958712556296,0.0,0.0,0.20505958712556296,0.0,0.0,0.0,0.0,0.932133309841156,0.06961844959296286,0.9783999824523926,57.79043102264404
finetune,17,0.20061173169770175,0.0,0.0,0.20061173169770175,0.0,0.0,0.0,0.0,0.9336888663636314,0.054524081153795124,0.9831999814510346,50.68804740905762
finetune,18,0.188589656850737,0.0,0.0,0.188589656850737,0.0,0.0,0.0,0.0,0.9375999769237306,0.07153601034544409,0.9785999786853791,50.41673254966736
finetune,19,0.18640079494462244,0.0,0.0,0.18640079494462244,0.0,0.0,0.0,0.0,0.9379777548048231,0.0531781160691753,0.9849999839067459,50.658177852630615
finetune,20,0.1834482472990122,0.0,0.0,0.1834482472990122,0.0,0.0,0.0,0.0,0.9386444216304355,0.05179437936749309,0.9855999827384949,50.600446939468384
finetune,21,0.1808010439378106,0.0,0.0,0.1808010439378106,0.0,0.0,0.0,0.0,0.9407555327150556,0.05585509351920336,0.9817999821901321,50.27815556526184
finetune,22,0.16896104927381708,0.0,0.0,0.16896104927381708,0.0,0.0,0.0,0.0,0.9443555323282877,0.049886874831281604,0.984199982881546,50.482359647750854
finetune,23,0.16717810719998347,0.0,0.0,0.16717810719998347,0.0,0.0,0.0,0.0,0.945355533361435,0.05043255201075226,0.9837999814748764,50.422109842300415
finetune,24,0.16499188943041695,0.0,0.0,0.16499188943041695,0.0,0.0,0.0,0.0,0.9455777559015486,0.04720017386134714,0.9865999817848206,50.71066117286682
finetune,25,0.16170300828448186,0.0,0.0,0.16170300828448186,0.0,0.0,0.0,0.0,0.9481333113378949,0.04402083522640168,0.987599983215332,50.49749946594238
finetune,26,0.1528652630942977,0.0,0.0,0.1528652630942977,0.0,0.0,0.0,0.0,0.9495555329985089,0.04163882547523826,0.9881999850273132,50.54127860069275
finetune,27,0.1537346527963463,0.0,0.0,0.1537346527963463,0.0,0.0,0.0,0.0,0.9493110882573658,0.04671236623544246,0.9867999827861786,50.47870850563049
finetune,28,0.15241121002265975,0.0,0.0,0.15241121002265975,0.0,0.0,0.0,0.0,0.9496222005287807,0.04440343223046511,0.9875999844074249,50.63862705230713
finetune,29,0.15463384054704674,0.0,0.0,0.15463384054704674,0.0,0.0,0.0,0.0,0.9482444222105874,0.041084865643642846,0.9887999832630158,50.28177213668823
finetune,30,0.15005414734491043,0.0,0.0,0.15005414734491043,0.0,0.0,0.0,0.0,0.9499777554803425,0.04074697059579194,0.9883999848365783,50.36893653869629
