layer,channel,ablation_delta,log_alpha
stage1.0.conv1,47,-0.0023862766101956367,2.0306968688964844
stage1.0.conv1,48,-0.010165194049477577,2.021080732345581
stage1.0.conv1,49,-0.005376951768994331,1.9307364225387573
stage1.0.conv1,50,0.0009090633830055594,1.9349085092544556
stage1.0.conv1,51,0.006216370966285467,1.9425197839736938
stage1.0.conv1,52,-0.007872541435062885,2.0471487045288086
stage1.0.conv1,53,0.006367216818034649,2.0443201065063477
stage1.0.conv1,54,-0.0004887811955995858,2.0027878284454346
stage1.0.conv1,55,-0.00038938087527640164,1.989206314086914
stage1.0.conv1,56,-0.011741035617887974,1.9951688051223755
stage1.0.conv1,57,-0.003328333841636777,2.0711922645568848
stage1.0.conv1,58,0.016938790678977966,1.9270914793014526
stage1.0.conv1,59,-0.005361509509384632,2.042532205581665
stage1.0.conv1,60,-0.00928586907684803,2.01501727104187
stage1.0.conv1,61,-0.01232932973653078,2.0182044506073
stage1.0.conv1,62,-0.010081830434501171,2.03533935546875
stage1.0.conv1,63,-0.00672169029712677,1.9737240076065063
stage1.1.conv1,0,-0.008794877678155899,2.003052234649658
stage1.1.conv1,1,-0.0010825131321325898,2.0000100135803223
stage1.1.conv1,2,-0.004303712863475084,2.0192668437957764
stage1.1.conv1,3,-0.008784987963736057,1.959196925163269
stage1.1.conv1,4,0.0017551227938383818,1.961540937423706
stage1.1.conv1,5,-0.0022665748838335276,2.0089409351348877
stage1.1.conv1,6,0.004037439823150635,1.9457005262374878
stage1.1.conv1,7,0.005581625271588564,2.006113290786743
stage1.1.conv1,8,-0.0002570377546362579,2.0595288276672363
stage1.1.conv1,9,0.006402159109711647,2.0025527477264404
stage1.1.conv1,10,-0.01281013898551464,1.9570763111114502
stage1.1.conv1,11,-0.011169541627168655,2.0017294883728027
stage1.1.conv1,12,-0.012169352732598782,2.0191218852996826
stage1.1.conv1,13,-0.012116512283682823,1.989587664604187
stage1.1.conv1,14,0.01686796359717846,1.9199092388153076
stage1.1.conv1,15,-0.004175693262368441,1.955711841583252
stage1.1.conv1,16,0.005135946907103062,2.045973777770996
